time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-01 00:00:00+00:00,0,0,20,8
2025-09-02 00:00:00+00:00,0,0,178,28
2025-09-03 00:00:00+00:00,0,0,118,31
2025-09-04 00:00:00+00:00,1,1,114,20
2025-09-05 00:00:00+00:00,0,0,72,20
2025-09-06 00:00:00+00:00,1,1,13,4
2025-09-07 00:00:00+00:00,0,0,24,8
2025-09-08 00:00:00+00:00,1,1,77,28
2025-09-09 00:00:00+00:00,0,0,92,21
2025-09-10 00:00:00+00:00,1,1,114,24
2025-09-11 00:00:00+00:00,1,1,52,28
2025-09-12 00:00:00+00:00,1,1,49,20
2025-09-13 00:00:00+00:00,0,0,8,4
2025-09-14 00:00:00+00:00,0,0,16,9
2025-09-15 00:00:00+00:00,0,0,93,35
2025-09-16 00:00:00+00:00,0,0,79,31
2025-09-17 00:00:00+00:00,1,1,135,41
2025-09-18 00:00:00+00:00,0,0,133,33
2025-09-19 00:00:00+00:00,0,0,215,36
2025-09-20 00:00:00+00:00,0,0,35,13
2025-09-21 00:00:00+00:00,1,1,42,13
2025-09-22 00:00:00+00:00,0,0,121,35
2025-09-23 00:00:00+00:00,0,0,159,33
2025-09-24 00:00:00+00:00,2,1,95,26
2025-09-25 00:00:00+00:00,0,0,64,23
2025-09-26 00:00:00+00:00,0,0,69,23
2025-09-27 00:00:00+00:00,0,0,47,10
2025-09-28 00:00:00+00:00,0,0,35,10
2025-09-29 00:00:00+00:00,2,2,66,27
2025-09-30 00:00:00+00:00,0,0,92,27
2025-10-01 00:00:00+00:00,0,0,61,27
2025-10-02 00:00:00+00:00,0,0,83,23
2025-10-03 00:00:00+00:00,0,0,62,19
2025-10-04 00:00:00+00:00,0,0,22,6
2025-10-05 00:00:00+00:00,0,0,48,8
2025-10-06 00:00:00+00:00,1,1,85,31
2025-10-07 00:00:00+00:00,0,0,89,29
2025-10-08 00:00:00+00:00,0,0,77,26
2025-10-09 00:00:00+00:00,0,0,50,17
2025-10-10 00:00:00+00:00,0,0,97,25
2025-10-11 00:00:00+00:00,1,1,17,9
2025-10-12 00:00:00+00:00,0,0,36,11
2025-10-13 00:00:00+00:00,2,2,87,25
2025-10-14 00:00:00+00:00,1,1,98,30
2025-10-15 00:00:00+00:00,1,1,107,30
2025-10-16 00:00:00+00:00,0,0,58,20
2025-10-17 00:00:00+00:00,0,0,57,21
2025-10-18 00:00:00+00:00,2,1,44,14
2025-10-19 00:00:00+00:00,1,1,17,7
2025-10-20 00:00:00+00:00,0,0,70,17
2025-10-21 00:00:00+00:00,0,0,77,27
2025-10-22 00:00:00+00:00,1,1,66,25
2025-10-23 00:00:00+00:00,1,1,83,24
2025-10-24 00:00:00+00:00,0,0,93,25
2025-10-25 00:00:00+00:00,1,1,21,5
2025-10-26 00:00:00+00:00,2,1,72,19
2025-10-27 00:00:00+00:00,0,0,153,41
2025-10-28 00:00:00+00:00,3,2,66,21
2025-10-29 00:00:00+00:00,0,0,157,33
2025-10-30 00:00:00+00:00,0,0,81,35
2025-10-31 00:00:00+00:00,0,0,96,27
2025-11-01 00:00:00+00:00,0,0,15,6
2025-11-02 00:00:00+00:00,1,1,51,16
2025-11-03 00:00:00+00:00,0,0,138,34
2025-11-04 00:00:00+00:00,2,1,93,24
2025-11-05 00:00:00+00:00,0,0,99,26
2025-11-06 00:00:00+00:00,0,0,97,34
2025-11-07 00:00:00+00:00,0,0,76,26
2025-11-08 00:00:00+00:00,0,0,44,6
2025-11-09 00:00:00+00:00,0,0,28,11
2025-11-10 00:00:00+00:00,0,0,177,38
2025-11-11 00:00:00+00:00,0,0,97,35
2025-11-12 00:00:00+00:00,0,0,82,28
2025-11-13 00:00:00+00:00,1,1,126,38
2025-11-14 00:00:00+00:00,0,0,119,26
2025-11-15 00:00:00+00:00,0,0,31,10
2025-11-16 00:00:00+00:00,0,0,54,9
2025-11-17 00:00:00+00:00,0,0,122,31
2025-11-18 00:00:00+00:00,0,0,156,29
2025-11-19 00:00:00+00:00,2,2,93,33
2025-11-20 00:00:00+00:00,0,0,88,24
2025-11-21 00:00:00+00:00,0,0,60,29
2025-11-22 00:00:00+00:00,0,0,37,19
2025-11-23 00:00:00+00:00,0,0,31,12
2025-11-24 00:00:00+00:00,0,0,54,17
