time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-01 00:00:00+00:00,0,0,20,8
2025-09-02 00:00:00+00:00,0,0,178,28
2025-09-03 00:00:00+00:00,0,0,118,31
2025-09-04 00:00:00+00:00,1,1,114,20
2025-09-05 00:00:00+00:00,0,0,72,20
2025-09-06 00:00:00+00:00,1,1,13,4
2025-09-07 00:00:00+00:00,0,0,24,8
2025-09-08 00:00:00+00:00,1,1,77,28
2025-09-09 00:00:00+00:00,0,0,92,21
2025-09-10 00:00:00+00:00,1,1,114,24
2025-09-11 00:00:00+00:00,1,1,52,28
2025-09-12 00:00:00+00:00,1,1,49,20
2025-09-13 00:00:00+00:00,0,0,8,4
2025-09-14 00:00:00+00:00,0,0,16,9
2025-09-15 00:00:00+00:00,0,0,93,35
2025-09-16 00:00:00+00:00,0,0,79,31
2025-09-17 00:00:00+00:00,1,1,135,41
2025-09-18 00:00:00+00:00,0,0,133,33
2025-09-19 00:00:00+00:00,0,0,215,36
2025-09-20 00:00:00+00:00,0,0,35,13
2025-09-21 00:00:00+00:00,1,1,42,13
2025-09-22 00:00:00+00:00,0,0,121,35
2025-09-23 00:00:00+00:00,0,0,159,33
2025-09-24 00:00:00+00:00,2,1,95,26
2025-09-25 00:00:00+00:00,0,0,64,23
2025-09-26 00:00:00+00:00,0,0,69,23
2025-09-27 00:00:00+00:00,0,0,47,10
2025-09-28 00:00:00+00:00,0,0,35,10
2025-09-29 00:00:00+00:00,1,1,41,17
